#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0 0 0 1.03935e-06 8.61992e-06 4.8582e-06
0.002 0.000251416 5.34836e-05 0.00144763 0.000751946 0.00115628
0.004 0.000385964 0.000165402 0.00636497 0.00331976 0.00324148
0.006 0.000490136 0.000348751 0.0123745 0.00620741 0.0059776
0.008 0.000575007 0.000564124 0.0210743 0.00956953 0.0105296
0.01 0.000690702 0.000895784 0.0318116 0.0158284 0.0138802
0.012 0.000771836 0.00127455 0.0436699 0.0211812 0.0189553
0.014 0.000879717 0.00172393 0.0580789 0.0282281 0.0244438
0.016 0.000941416 0.00231093 0.0735482 0.0372721 0.0286224
0.018 0.000992057 0.00291163 0.0905045 0.0450834 0.035197
0.02 0.00109096 0.00363645 0.109404 0.0556522 0.0404598
0.022 0.00114065 0.00446793 0.129058 0.0667141 0.0456098
0.024 0.00119231 0.00532109 0.150321 0.0773576 0.0524465
0.026 0.00125446 0.0063315 0.172868 0.0907809 0.0572905
0.028 0.00129018 0.0073997 0.196181 0.103625 0.0631614
0.03 0.00135131 0.00852767 0.22094 0.117167 0.0693995
0.032 0.00138601 0.00980719 0.246532 0.132659 0.0740756
0.034 0.00141019 0.0111161 0.272953 0.147382 0.0800701
0.036 0.00146574 0.0125221 0.300496 0.163465 0.0854282
0.038 0.00148451 0.0140453 0.328648 0.180494 0.0900741
0.04 0.00150379 0.0155992 0.357607 0.197163 0.0956153
0.042 0.00154138 0.0172684 0.387361 0.215226 0.100174
0.044 0.0015503 0.019015 0.417622 0.233534 0.104692
0.046 0.00157326 0.0208131 0.448577 0.252022 0.109446
0.048 0.00159485 0.0227187 0.480072 0.271524 0.113386
0.05 0.001603 0.024685 0.512006 0.291051 0.117471
0.052 0.00162808 0.0267245 0.544451 0.311099 0.121263
0.054 0.00164553 0.0288419 0.577247 0.331605 0.124689
0.056 0.0016601 0.0309898 0.610438 0.352076 0.128352
0.058 0.00167985 0.0332219 0.644027 0.373128 0.131576
0.06 0.00169092 0.0355138 0.677875 0.394509 0.134496
0.062 0.00170391 0.0378439 0.712008 0.415899 0.137513
0.064 0.00171997 0.040239 0.746419 0.437674 0.140205
0.066 0.00172946 0.0426837 0.781022 0.459675 0.142675
0.068 0.00173998 0.0451645 0.815832 0.481666 0.145198
0.07 0.00175364 0.0476917 0.85085 0.503925 0.147483
0.072 0.00176223 0.0502671 0.886007 0.526395 0.149532
0.074 0.0017705 0.0528721 0.921302 0.548853 0.151594
0.076 0.00178177 0.0555152 0.95674 0.571483 0.153483
0.078 0.0017886 0.0581951 0.99227 0.594251 0.155189
0.08 0.0017949 0.0608999 1.02789 0.617002 0.156888
0.082 0.0018024 0.0636325 1.06361 0.63986 0.158461
0.084 0.00180668 0.0663945 1.09938 0.662803 0.159904
0.086 0.00181049 0.0691754 1.1352 0.685731 0.161316
0.088 0.001815 0.0719789 1.17108 0.708727 0.162651
0.09 0.0018179 0.0748039 1.20699 0.73176 0.163913
0.092 0.00182126 0.077645 1.24291 0.754795 0.165132
0.094 0.00182755 0.0805097 1.27885 0.777913 0.166276
0.096 0.00183747 0.0833916 1.31476 0.801066 0.1674
0.098 0.00185002 0.0862926 1.35064 0.824223 0.168493
0.1 0.00186437 0.0892142 1.38648 0.847413 0.169576
0.102 0.0018816 0.0921535 1.42226 0.870598 0.170638
0.104 0.00189862 0.0951112 1.45798 0.893773 0.171669
0.106 0.00191597 0.0980863 1.49362 0.91693 0.172668
0.108 0.00193353 0.101078 1.52917 0.940064 0.173643
0.11 0.00195115 0.104083 1.56461 0.963139 0.174582
0.112 0.00196899 0.107105 1.59995 0.986181 0.175489
0.114 0.00198747 0.110142 1.63516 1.00917 0.176362
0.116 0.00200565 0.113192 1.67024 1.03208 0.177201
0.118 0.0020242 0.116261 1.70517 1.05498 0.178072
0.12 0.00204083 0.119342 1.73993 1.07778 0.178931
0.122 0.00205399 0.122439 1.77451 1.1005 0.179729
0.124 0.00206514 0.125549 1.80892 1.12312 0.180484
0.126 0.00207554 0.128678 1.84311 1.14568 0.181304
0.128 0.00208504 0.131816 1.8771 1.16807 0.182093
0.13 0.00209535 0.134978 1.91088 1.19037 0.183014
0.132 0.00211036 0.13814 1.94442 1.2125 0.183999
0.134 0.00212858 0.141304 1.97776 1.23439 0.18484
0.136 0.0021455 0.144502 2.01088 1.25631 0.185869
0.138 0.00215922 0.14769 2.04376 1.27798 0.186827
0.14 0.00217343 0.150881 2.07643 1.29943 0.187727
0.142 0.00218584 0.154076 2.10889 1.3208 0.188681
0.144 0.00219575 0.157277 2.14112 1.342 0.189626
0.146 0.00220684 0.160465 2.17315 1.363 0.190529
0.148 0.00221737 0.163653 2.20498 1.38387 0.191461
0.15 0.00223024 0.166836 2.2366 1.40459 0.192389
0.152 0.00224347 0.170002 2.26803 1.42509 0.193257
0.154 0.00225751 0.173161 2.29928 1.44546 0.194116
0.156 0.00227378 0.176308 2.33034 1.4657 0.194985
0.158 0.0022897 0.179437 2.36122 1.48574 0.195774
0.16 0.00230755 0.182552 2.39193 1.50565 0.19655
0.162 0.00232506 0.185651 2.42246 1.52541 0.197297
0.164 0.00235425 0.188745 2.45281 1.54507 0.198093
0.166 0.00239716 0.191818 2.48297 1.5646 0.198967
0.168 0.00241813 0.194859 2.51296 1.58386 0.199699
0.17 0.00243225 0.197902 2.5428 1.60315 0.200592
0.172 0.00244652 0.200937 2.57244 1.62231 0.201546
0.174 0.00245779 0.203959 2.60189 1.64132 0.202511
0.176 0.00246784 0.206977 2.63116 1.66026 0.203517
0.178 0.00247774 0.209989 2.66024 1.67907 0.204504
0.18 0.00248787 0.212995 2.68912 1.69777 0.205477
0.182 0.00249796 0.215994 2.7178 1.71635 0.206436
0.184 0.00250813 0.218987 2.74628 1.7348 0.207369
0.186 0.00251784 0.221975 2.77456 1.75313 0.208289
0.188 0.0025271 0.224961 2.80264 1.77135 0.209224
0.19 0.00253658 0.227941 2.83051 1.78943 0.210173
0.192 0.00254624 0.23092 2.85817 1.8074 0.211154
0.194 0.00255545 0.233898 2.88561 1.82523 0.212157
0.196 0.00256456 0.236874 2.91284 1.84293 0.213184
0.198 0.00257452 0.239853 2.93985 1.86051 0.214266
0.2 0.00258585 0.242828 2.96663 1.87791 0.215371
0.202 0.00260043 0.245791 2.99319 1.89515 0.216459
0.204 0.00261035 0.248747 3.01955 1.91224 0.217537
0.206 0.0026215 0.251717 3.04568 1.92926 0.218693
0.208 0.00263561 0.254677 3.07158 1.94609 0.219823
0.21 0.00264604 0.257623 3.09728 1.96274 0.220918
0.212 0.00265799 0.260545 3.12277 1.9792 0.221963
0.214 0.00266927 0.263467 3.14807 1.99555 0.22302
0.216 0.0026802 0.26638 3.17317 2.01178 0.2241
0.218 0.00269027 0.269275 3.19807 2.02783 0.225123
0.22 0.00269998 0.272155 3.22279 2.04375 0.226135
0.222 0.002708 0.27502 3.24732 2.05953 0.227133
0.224 0.00271576 0.27787 3.27167 2.07517 0.228116
0.226 0.00272393 0.2807 3.29585 2.09067 0.229057
0.228 0.00273043 0.28351 3.31987 2.10604 0.229971
0.23 0.00273714 0.286304 3.34373 2.1213 0.230869
0.232 0.00274439 0.289081 3.36743 2.13643 0.231748
0.234 0.00275048 0.291838 3.39098 2.15145 0.232603
0.236 0.00275607 0.294575 3.41439 2.16635 0.233435
0.238 0.00276119 0.297296 3.43765 2.18114 0.234255
0.24 0.00276609 0.299999 3.46076 2.19583 0.235062
0.242 0.00277032 0.302686 3.48374 2.21042 0.235865
0.244 0.00277435 0.305358 3.50657 2.22492 0.236673
0.246 0.00277886 0.308014 3.52927 2.23932 0.237476
0.248 0.00278374 0.310656 3.55182 2.25362 0.238302
0.25 0.00280366 0.31329 3.57421 2.26787 0.239174
0.252 0.00284409 0.315911 3.59642 2.28203 0.240074
0.254 0.00287615 0.318516 3.61848 2.29603 0.240928
0.256 0.00290316 0.321117 3.64038 2.30998 0.241842
0.258 0.00292668 0.323708 3.66211 2.32381 0.242746
0.26 0.00294806 0.326293 3.68367 2.33756 0.243691
0.262 0.00296789 0.32887 3.70505 2.35118 0.244626
0.264 0.0029861 0.331443 3.72627 2.36471 0.245604
0.266 0.00300292 0.334014 3.7473 2.37813 0.246598
0.268 0.00301848 0.336583 3.76815 2.39145 0.247631
0.27 0.00303248 0.339143 3.78881 2.40462 0.248649
0.272 0.00304726 0.341692 3.8093 2.41766 0.249658
0.274 0.00305876 0.344254 3.82961 2.43065 0.250732
0.276 0.00306936 0.346806 3.84973 2.44349 0.251797
0.278 0.00307922 0.349346 3.86967 2.45618 0.252827
0.28 0.00308873 0.351892 3.88945 2.4688 0.253903
0.282 0.00309919 0.354423 3.90904 2.48128 0.254941
0.284 0.00311009 0.356945 3.92848 2.49363 0.25594
0.286 0.00311778 0.359465 3.94775 2.50591 0.25697
0.288 0.00312489 0.361973 3.96685 2.51806 0.257962
0.29 0.00313154 0.36447 3.9858 2.53011 0.258941
0.292 0.00313911 0.366953 4.0046 2.54204 0.259888
0.294 0.00314662 0.369424 4.02326 2.55388 0.260818
0.296 0.00315376 0.371884 4.04177 2.56562 0.26174
0.298 0.00316099 0.374326 4.06014 2.57726 0.262635
0.3 0.00316845 0.376755 4.07838 2.58881 0.26352
0.302 0.00317576 0.379169 4.09649 2.60027 0.264394
0.304 0.00318255 0.381566 4.11446 2.61165 0.265244
0.306 0.00318934 0.383946 4.13232 2.62293 0.266077
0.308 0.00319642 0.386309 4.15005 2.63413 0.266891
0.31 0.003203 0.388654 4.16766 2.64526 0.267691
0.312 0.00320951 0.390981 4.18515 2.6563 0.268479
0.314 0.00321584 0.393291 4.20253 2.66727 0.269252
0.316 0.00322201 0.395582 4.2198 2.67815 0.27001
0.318 0.00322806 0.397856 4.23695 2.68896 0.270759
