#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0 0 0 1.03935e-06 8.96574e-06 5.03878e-06
0.002 0.000162925 5.55942e-05 0.00135011 0.000558029 0.00114375
0.004 0.000239612 0.000168843 0.00654249 0.00317983 0.00344332
0.006 0.000312811 0.000363609 0.0129364 0.00639996 0.00623482
0.008 0.000366992 0.000579164 0.0220894 0.00959722 0.0113971
0.01 0.000435599 0.000923995 0.0335273 0.0164464 0.0149548
0.012 0.000493074 0.00131229 0.0460443 0.0217551 0.0206641
0.014 0.000569646 0.00177152 0.061494 0.029223 0.0267587
0.016 0.000620856 0.00238333 0.0778383 0.0388604 0.0312645
0.018 0.000664848 0.00298433 0.0960582 0.0463832 0.0392589
0.02 0.000727389 0.00375944 0.116248 0.0585519 0.0442445
0.022 0.00076894 0.0046111 0.137049 0.0692877 0.0506696
0.024 0.000828155 0.00548471 0.160033 0.0806812 0.0582805
0.026 0.000874872 0.00656588 0.183917 0.0954518 0.0629685
0.028 0.000901107 0.00764883 0.208906 0.107781 0.0707404
0.03 0.000953366 0.00884137 0.235488 0.123261 0.0765716
0.032 0.000983318 0.0101792 0.262659 0.138983 0.0822458
0.034 0.0010146 0.0115286 0.291107 0.154349 0.0892338
0.036 0.00104721 0.0130277 0.32048 0.172115 0.0942928
0.038 0.00106127 0.0146069 0.350555 0.189297 0.100246
0.04 0.00108725 0.0162596 0.381594 0.20755 0.105727
0.042 0.0010995 0.0180111 0.413254 0.226485 0.110787
0.044 0.00111523 0.0197947 0.445709 0.245295 0.116504
0.046 0.00113333 0.0216926 0.47887 0.265417 0.121244
0.048 0.00114154 0.0236577 0.512559 0.285604 0.12612
0.05 0.001156 0.0256772 0.546898 0.306178 0.13098
0.052 0.00116638 0.0277903 0.581742 0.327528 0.135239
0.054 0.00117379 0.0299571 0.617053 0.34893 0.139633
0.056 0.00118393 0.0321856 0.65285 0.370847 0.14373
0.058 0.0011902 0.0344838 0.689035 0.393138 0.147566
0.06 0.00119652 0.0368309 0.725606 0.415598 0.151373
0.062 0.00120545 0.039231 0.76254 0.438436 0.154922
0.064 0.00121334 0.0416849 0.799789 0.461497 0.15833
0.066 0.00122039 0.0441869 0.837338 0.4848 0.161573
0.068 0.00122661 0.0467357 0.875147 0.508341 0.164625
0.07 0.00123411 0.049326 0.9132 0.532033 0.167568
0.072 0.00124122 0.0519666 0.951463 0.555998 0.170248
0.074 0.00124615 0.0546511 0.989889 0.580133 0.172742
0.076 0.00125363 0.0573685 1.02847 0.604357 0.175152
0.078 0.00126289 0.0601296 1.06719 0.628785 0.177346
0.08 0.0012711 0.062931 1.10601 0.653341 0.17938
0.082 0.00127994 0.0657664 1.14492 0.677979 0.181301
0.084 0.00128913 0.0686402 1.18388 0.702766 0.183051
0.086 0.00129767 0.0715456 1.22289 0.727589 0.184702
0.088 0.00130722 0.074484 1.26192 0.752505 0.186246
0.09 0.00131635 0.0774555 1.30095 0.777489 0.187684
0.092 0.00132521 0.0804557 1.33997 0.802499 0.189039
0.094 0.00133374 0.0834855 1.37896 0.827548 0.190322
0.096 0.00134188 0.0865428 1.4179 0.852613 0.191532
0.098 0.00134959 0.0896267 1.45678 0.877688 0.192674
0.1 0.0013568 0.0927366 1.49559 0.90276 0.193748
0.102 0.00136359 0.0958715 1.5343 0.927817 0.194751
0.104 0.00137038 0.099032 1.57289 0.95286 0.195678
0.106 0.00137733 0.102217 1.61137 0.97786 0.196554
0.108 0.00138742 0.105427 1.64969 1.00282 0.197384
0.11 0.00140263 0.108657 1.68785 1.02771 0.198182
0.112 0.00141684 0.111899 1.72585 1.05247 0.198917
0.114 0.00142778 0.115161 1.76368 1.07718 0.199627
0.116 0.00143547 0.118451 1.80131 1.10184 0.200381
0.118 0.00144883 0.121753 1.83872 1.12631 0.201268
0.12 0.00145787 0.125023 1.87595 1.15049 0.202182
0.122 0.00146274 0.128327 1.91303 1.1747 0.203057
0.124 0.00147732 0.131651 1.94987 1.19887 0.204096
0.126 0.00148541 0.134924 1.98652 1.22253 0.204864
0.128 0.00149254 0.13824 2.02303 1.24635 0.20576
0.13 0.0015047 0.141558 2.05929 1.27003 0.20671
0.132 0.00150868 0.144849 2.09538 1.29333 0.207386
0.134 0.00151418 0.148162 2.13128 1.31671 0.208283
0.136 0.00152223 0.151464 2.16695 1.33984 0.209077
0.138 0.00152486 0.154747 2.20245 1.36272 0.209842
0.14 0.00152932 0.158034 2.23777 1.38558 0.210698
0.142 0.0015352 0.161316 2.27289 1.40823 0.211475
0.144 0.00154026 0.164588 2.30781 1.43073 0.212261
0.146 0.00154645 0.167863 2.34254 1.45315 0.213155
0.148 0.00155254 0.171132 2.37706 1.4754 0.214068
0.15 0.00155949 0.174397 2.41138 1.49752 0.215066
0.152 0.00156743 0.177661 2.44548 1.51953 0.216072
0.154 0.00157456 0.180922 2.47938 1.54138 0.217065
0.156 0.00158273 0.184183 2.51305 1.56311 0.218074
0.158 0.00159015 0.187439 2.54651 1.5847 0.219071
0.16 0.00159754 0.190693 2.57976 1.60614 0.22006
0.162 0.00160532 0.193944 2.61278 1.62743 0.221042
0.164 0.00161323 0.197194 2.64558 1.64859 0.222071
0.166 0.00162105 0.200443 2.67816 1.66961 0.223088
0.168 0.00162819 0.203691 2.71051 1.69049 0.224121
0.17 0.00163572 0.20694 2.74262 1.71125 0.22521
0.172 0.00164399 0.210187 2.7745 1.73185 0.226315
0.174 0.00165138 0.213429 2.80614 1.75228 0.227404
0.176 0.00165811 0.216674 2.83755 1.77259 0.228548
0.178 0.00166536 0.219918 2.86871 1.79273 0.229733
0.18 0.00167347 0.223169 2.89963 1.81275 0.231018
0.182 0.00168595 0.226409 2.93029 1.83255 0.232284
0.184 0.00169787 0.229607 2.96073 1.85208 0.233428
0.186 0.00170993 0.232845 2.99096 1.87164 0.234767
0.188 0.00172716 0.236052 3.02092 1.89094 0.236023
0.19 0.0017416 0.239233 3.05068 1.91 0.237177
0.192 0.00175438 0.242414 3.08022 1.929 0.238399
0.194 0.00177182 0.245591 3.10953 1.94782 0.239621
0.196 0.00179111 0.248736 3.13862 1.96644 0.240759
0.198 0.00182673 0.251894 3.16747 1.98502 0.242042
0.2 0.00185387 0.255004 3.19607 2.00329 0.243132
0.202 0.00186763 0.258102 3.22449 2.02141 0.244194
0.204 0.00188051 0.261181 3.25269 2.03942 0.245302
0.206 0.0018904 0.264243 3.28071 2.05722 0.246318
0.208 0.00190166 0.267297 3.30851 2.07496 0.247474
0.21 0.00191041 0.270327 3.33611 2.0925 0.248525
0.212 0.00191875 0.273355 3.36352 2.10997 0.249629
0.214 0.00192692 0.276363 3.39072 2.12726 0.250684
0.216 0.00193277 0.279365 3.41772 2.14445 0.251754
0.218 0.0019395 0.282351 3.44452 2.1615 0.252822
0.22 0.00194519 0.285328 3.47113 2.17841 0.253871
0.222 0.00195121 0.288294 3.49754 2.19521 0.254945
0.224 0.00195673 0.29125 3.52376 2.21186 0.256003
0.226 0.00196228 0.294198 3.54978 2.22841 0.257094
0.228 0.00196714 0.297137 3.57559 2.24481 0.258194
0.23 0.00197375 0.300065 3.60122 2.2611 0.259293
0.232 0.0019795 0.302984 3.62665 2.27724 0.260386
0.234 0.00198501 0.305896 3.65189 2.29327 0.261491
0.236 0.00199012 0.3088 3.67693 2.30915 0.2626
0.238 0.00199569 0.311695 3.70178 2.32491 0.263716
0.24 0.00200112 0.314585 3.72643 2.34055 0.264861
0.242 0.00200681 0.317469 3.75088 2.35606 0.266026
0.244 0.00201469 0.320345 3.77512 2.37143 0.267226
0.246 0.00202441 0.323198 3.79917 2.38663 0.268379
0.248 0.00203181 0.326041 3.82305 2.40171 0.269518
0.25 0.00203823 0.328886 3.84673 2.41669 0.270712
0.252 0.00204353 0.331718 3.87021 2.43152 0.271891
0.254 0.00205202 0.334515 3.89352 2.44616 0.273007
0.256 0.00205958 0.337299 3.91666 2.4607 0.274097
0.258 0.00206908 0.340085 3.93962 2.47517 0.275262
0.26 0.00207702 0.342838 3.9624 2.48944 0.27632
0.262 0.00208635 0.345584 3.98502 2.50363 0.277422
0.264 0.00210359 0.348307 4.00745 2.51769 0.278498
0.266 0.00212123 0.351011 4.02972 2.5316 0.279535
0.268 0.00214205 0.353703 4.05181 2.54545 0.28063
0.27 0.00216335 0.356375 4.07373 2.55915 0.281685
0.272 0.00218524 0.359024 4.09548 2.57275 0.282731
0.274 0.00220204 0.361662 4.11707 2.58625 0.283768
0.276 0.00221649 0.36429 4.13848 2.59969 0.284857
0.278 0.00222464 0.366895 4.15972 2.61297 0.285883
0.28 0.00223215 0.36949 4.1808 2.62618 0.286932
0.282 0.00223891 0.372068 4.2017 2.63928 0.287961
0.284 0.00224337 0.374637 4.22245 2.6523 0.289017
0.286 0.00224776 0.37719 4.24302 2.6652 0.290047
0.288 0.00225201 0.379732 4.26344 2.67801 0.291084
0.29 0.00228069 0.382282 4.28366 2.69081 0.292251
0.292 0.00229693 0.384792 4.30371 2.70337 0.293247
0.294 0.00230428 0.387302 4.32362 2.7159 0.294301
0.296 0.00230907 0.389797 4.34334 2.72833 0.295348
0.298 0.00231272 0.392278 4.36292 2.74063 0.296367
0.3 0.00231626 0.394749 4.38233 2.75285 0.297412
0.302 0.00231947 0.397209 4.40157 2.76496 0.298443
0.304 0.00232198 0.399659 4.42066 2.77698 0.299494
0.306 0.00232565 0.402098 4.43958 2.7889 0.300544
0.308 0.00233053 0.40453 4.45834 2.80071 0.301602
0.31 0.00233694 0.406942 4.47693 2.81241 0.302628
0.312 0.00234178 0.409349 4.49538 2.82402 0.303657
0.314 0.00234782 0.411742 4.51366 2.83553 0.304676
0.316 0.00235543 0.414117 4.5318 2.84691 0.305656
0.318 0.00236051 0.41649 4.54979 2.85823 0.306675
0.32 0.00236684 0.418832 4.56763 2.86941 0.307621
0.322 0.0023729 0.421174 4.58534 2.88053 0.308609
0.324 0.00237811 0.423494 4.60289 2.89153 0.309566
0.326 0.00238303 0.425801 4.62031 2.90244 0.310513
0.328 0.00238962 0.42809 4.63759 2.91326 0.31145
0.33 0.00239631 0.430359 4.65474 2.92398 0.31236
0.332 0.00241547 0.43262 4.67173 2.93465 0.313319
0.334 0.0024359 0.434857 4.68859 2.94519 0.314214
0.336 0.00245618 0.437081 4.70531 2.95567 0.315136
0.338 0.00247735 0.439291 4.72189 2.96607 0.316053
0.34 0.0024971 0.441482 4.73832 2.97638 0.316961
0.342 0.00251578 0.443661 4.75462 2.98663 0.317868
0.344 0.00253076 0.445817 4.77078 2.99677 0.318734
0.346 0.00254397 0.447969 4.7868 3.00687 0.319644
0.348 0.0025553 0.450096 4.80269 3.01685 0.320502
0.35 0.00256345 0.452215 4.81844 3.02678 0.321375
0.352 0.00257007 0.454317 4.83406 3.03662 0.322237
0.354 0.00257492 0.456405 4.84954 3.04637 0.323084
0.356 0.00257908 0.458481 4.8649 3.05606 0.323939
0.358 0.00258239 0.460543 4.88012 3.06566 0.324777
0.36 0.00258557 0.462592 4.89522 3.07519 0.325616
0.362 0.00258862 0.464628 4.91019 3.08464 0.326442
0.364 0.00259145 0.466652 4.92503 3.094 0.327264
0.366 0.00259479 0.468663 4.93975 3.10329 0.32808
0.368 0.00259764 0.470662 4.95434 3.1125 0.328894
0.37 0.00260039 0.472649 4.9688 3.12164 0.329702
0.372 0.002604 0.474624 4.98314 3.13069 0.330503
0.374 0.00260789 0.476587 4.99736 3.13967 0.331302
0.376 0.00261229 0.478538 5.01146 3.14857 0.332097
0.378 0.00261706 0.480481 5.02543 3.15739 0.3329
0.38 0.00262476 0.482405 5.03928 3.16613 0.333689
0.382 0.00263004 0.484324 5.05301 3.1748 0.334478
0.384 0.00263423 0.486223 5.06662 3.18337 0.335236
0.386 0.0026388 0.488117 5.08012 3.19188 0.33601
0.388 0.00264297 0.489995 5.09349 3.20031 0.336768
0.39 0.00264882 0.491851 5.10677 3.20864 0.337482
0.392 0.00265311 0.493709 5.11992 3.21694 0.338248
0.394 0.00265743 0.495543 5.13297 3.22513 0.338956
0.396 0.00266127 0.49737 5.1459 3.23327 0.339684
0.398 0.00266489 0.499179 5.15873 3.24132 0.340387
0.4 0.00266864 0.500977 5.17145 3.24931 0.341093
0.402 0.00267266 0.502761 5.18407 3.25722 0.341783
0.404 0.00267685 0.504531 5.19659 3.26508 0.342471
0.406 0.00268112 0.506289 5.209 3.27286 0.34315
0.408 0.00268538 0.508033 5.22131 3.28058 0.343824
0.41 0.00268982 0.509764 5.23352 3.28824 0.344489
0.412 0.00269445 0.511482 5.24564 3.29584 0.345148
0.414 0.00270007 0.513187 5.25765 3.30337 0.345799
0.416 0.00270565 0.514877 5.26957 3.31084 0.346437
0.418 0.0027122 0.516557 5.28139 3.31826 0.347083
0.42 0.00271829 0.518222 5.29311 3.32561 0.347714
0.422 0.00272515 0.51987 5.30474 3.3329 0.348322
0.424 0.0027324 0.52151 5.31628 3.34014 0.348941
0.426 0.00273916 0.523133 5.32772 3.34731 0.349545
0.428 0.00274621 0.524744 5.33908 3.35443 0.350145
0.43 0.0027514 0.526343 5.35033 3.36149 0.350748
0.432 0.00281344 0.527982 5.36145 3.36867 0.351708
0.434 0.00285742 0.529539 5.37237 3.37553 0.352479
0.436 0.00287853 0.531124 5.38325 3.38249 0.353196
0.438 0.00289262 0.532664 5.394 3.38925 0.353726
0.44 0.0029014 0.534215 5.40468 3.39606 0.354354
0.442 0.00290747 0.535742 5.41525 3.40274 0.354898
0.444 0.00291249 0.537264 5.42573 3.40941 0.355489
0.446 0.00291626 0.538773 5.43612 3.41599 0.356044
0.448 0.0029203 0.540273 5.44642 3.42254 0.356614
0.45 0.00292276 0.541762 5.45662 3.42902 0.357164
0.452 0.00292633 0.54324 5.46673 3.43544 0.357719
0.454 0.00292909 0.544708 5.47676 3.4418 0.358264
0.456 0.00293272 0.546167 5.48669 3.44811 0.358813
0.458 0.00293625 0.547616 5.49653 3.45436 0.359356
0.46 0.00294136 0.549052 5.50628 3.46055 0.359884
0.462 0.00294457 0.550478 5.51594 3.46668 0.360404
0.464 0.0029487 0.551895 5.52552 3.47277 0.360924
0.466 0.00295154 0.553302 5.53502 3.4788 0.361439
0.468 0.00295479 0.554698 5.54442 3.48477 0.361942
0.47 0.00295804 0.556085 5.55375 3.4907 0.362447
0.472 0.00296136 0.55746 5.56299 3.49657 0.362936
0.474 0.00296414 0.558826 5.57215 3.50239 0.363428
0.476 0.0029669 0.560181 5.58122 3.50815 0.363907
0.478 0.00296947 0.561526 5.59022 3.51387 0.364386
0.48 0.00297171 0.56286 5.59913 3.51953 0.364854
0.482 0.00297449 0.564183 5.60797 3.52514 0.365322
0.484 0.00297684 0.565495 5.61673 3.5307 0.365778
0.486 0.00297971 0.566797 5.62541 3.53621 0.366234
0.488 0.00298263 0.568088 5.63401 3.54168 0.366683
0.49 0.00298594 0.569368 5.64254 3.5471 0.367126
0.492 0.00298923 0.570637 5.65099 3.55247 0.367562
0.494 0.00299287 0.571896 5.65936 3.55779 0.367996
0.496 0.00299622 0.573143 5.66766 3.56306 0.368421
0.498 0.0030002 0.574381 5.67589 3.56829 0.368845
0.5 0.00300388 0.575608 5.68405 3.57348 0.369263
0.502 0.00300787 0.576825 5.69213 3.57862 0.369677
0.504 0.0030116 0.578032 5.70013 3.58372 0.370086
0.506 0.00301568 0.579229 5.70807 3.58877 0.370492
0.508 0.00301946 0.580415 5.71594 3.59378 0.37089
0.51 0.00302325 0.581592 5.72373 3.59874 0.371285
0.512 0.00302734 0.582755 5.73146 3.60366 0.371663
0.514 0.00303167 0.583913 5.73912 3.60854 0.372054
0.516 0.00303545 0.585056 5.74671 3.61337 0.372426
0.518 0.00303951 0.586192 5.75423 3.61817 0.372804
0.52 0.00304348 0.587317 5.76169 3.62292 0.373173
0.522 0.00304763 0.588433 5.76908 3.62763 0.373539
0.524 0.00305191 0.58954 5.7764 3.6323 0.373901
0.526 0.00305632 0.590636 5.78366 3.63692 0.374256
0.528 0.00306052 0.591724 5.79085 3.64151 0.374608
0.53 0.00306509 0.592802 5.79798 3.64605 0.374958
0.532 0.00306946 0.593872 5.80504 3.65056 0.375302
0.534 0.00307399 0.594932 5.81204 3.65503 0.375644
0.536 0.00307818 0.595984 5.81897 3.65945 0.375981
0.538 0.00308218 0.597027 5.82585 3.66384 0.376315
0.54 0.00308576 0.598061 5.83265 3.66819 0.376644
0.542 0.00308897 0.599087 5.8394 3.6725 0.37697
0.544 0.00309179 0.600104 5.84609 3.67677 0.377292
0.546 0.00309411 0.601113 5.85271 3.681 0.377611
0.548 0.00309608 0.602114 5.85927 3.68519 0.377928
0.55 0.00309818 0.603107 5.86577 3.68934 0.37824
0.552 0.00310061 0.604092 5.87221 3.69345 0.378551
0.554 0.00310352 0.60507 5.87859 3.69753 0.378861
0.556 0.00310652 0.606036 5.88491 3.70156 0.379152
0.558 0.00310839 0.606997 5.89117 3.70556 0.379453
0.56 0.00311 0.607949 5.89738 3.70953 0.379746
0.562 0.00311215 0.608894 5.90353 3.71345 0.380035
0.564 0.00311429 0.609831 5.90962 3.71734 0.380323
0.566 0.00311607 0.610761 5.91566 3.7212 0.380605
0.568 0.00311757 0.611684 5.92164 3.72502 0.380887
0.57 0.00311921 0.612599 5.92756 3.7288 0.38116
0.572 0.00312081 0.613507 5.93343 3.73255 0.381435
0.574 0.00312251 0.614406 5.93925 3.73626 0.381702
0.576 0.00312448 0.615298 5.94501 3.73995 0.381968
0.578 0.00312659 0.616183 5.95072 3.74359 0.382228
0.58 0.00312939 0.61706 5.95639 3.7472 0.382483
0.582 0.00313153 0.61793 5.962 3.75078 0.382736
0.584 0.00313387 0.618792 5.96756 3.75433 0.382984
0.586 0.00313625 0.619647 5.97307 3.75784 0.383229
0.588 0.00313852 0.620495 5.97854 3.76132 0.38347
0.59 0.00314103 0.621335 5.98396 3.76477 0.383708
0.592 0.00314334 0.622169 5.98933 3.76819 0.383941
